rank,nama,kekayaan_2026_t,cagr_pct
1,Haryanto Tjiptodihardjo,84.40,71.0
2,Marina Budiman,113.09,47.9
3,Lim Hariyanto Wijaya Sarwono,108.03,42.2
4,Han Arming Hanafia,74.27,41.4
5,Otto Toto Sugiri,168.88,40.7
6,Low Tuck Kwong,340.98,38.4
7,Sjamsul Nursalim,47.28,36.5
8,Prajogo Pangestu,852.74,36.6
9,Manoj Punjabi,55.70,31.6
10,Wijono & Hermanto Tanoto keluarga,60.64,27.4
11,Tahir & keluarga,178.92,18.1
12,Widjaja keluarga,477.88,16.7
13,Jogi Hendra Atmadja & keluarga,69.08,16.2
14,Hamami & keluarga,28.69,14.6
15,Sulistyo & keluarga,24.47,13.2
16,Sukanto Tanoto,72.58,12.7
17,Arini Subianto & keluarga,40.61,12.7
18,Martua Sitorus,60.78,12.6
19,Theodore Rachmat,75.98,12.4
20,Anthony Salim & keluarga,221.11,8.7
21,R. Budi & Michael Hartono,849.84,8.6
22,Irwan Hidayat & keluarga,19.41,8.1
23,Peter Sondakh,64.14,7.8
24,Sri Prakash Lohia,146.16,7.4
25,Bambang Sutantio,36.45,7.0
26,Djoko Susanto,42.20,6.8
27,Garibaldi Thohir & keluarga,64.14,4.8
28,Putera Sampoerna & keluarga,42.20,3.3
29,Ciputra keluarga,27.01,3.0
30,Agoes Projosasmito,99.69,3.0
31,Bachtiar & Burhan Bahari Karim & kel.,70.89,2.8
32,Alexander Ramlie,45.67,2.6
33,Husodo Angkosubroto & keluarga,25.32,2.3
34,Hilmi Panigoro & keluarga,48.96,1.2
35,Ciliandra & Wirastuty Fangiono kel.,25.32,0.7
36,Mochtar Riady,137.13,0.5
37,Chairul Tanjung,62.71,0.0
38,Hary Tanoesoedibjo,18.57,0.0
39,Jenny Quantero & Engki Wibowo,24.97,-0.5
40,Soegiarto Adikoesoemo,21.94,-0.7
41,Husain Djojonegoro & keluarga,16.53,-0.8
42,Eddy Sugianto,18.57,-2.9
43,Lim Chai Hock,21.94,-3.6
44,Hartati Murdaya Family,21.10,-4.1
45,Dewi Kam,60.76,-5.0
46,Eddy Katuari & keluarga,16.79,-5.2
47,Setiawan & keluarga,60.76,-5.8
48,Susilo Wonowidjojo & keluarga,64.01,-7.7
49,Eddy Kusnadi Sariastmadja & kel.,18.57,-8.1
50,Edwin Soeryadjana & keluarga,16.88,-9.6
